User,Community_ID,User_type
samvelave,2,follower
zdrobilko,2,follower
liukonen,2,follower
zosser,2,follower
knyzeva,2,follower
id2836,2,follower
victoria.stepanova,2,follower
id40933,2,follower
pavelkurnosenkov,2,follower
id555,2,follower
marinka.arkhipova,2,follower
dievsky,3,leader
id23231,3,agent
anukhinpavel,3,agent
romansemizarov,3,agent
poskryakov,3,agent
grich,3,agent
skipsky,3,agent
id7705,3,agent
lenauspenskaya,3,agent
id10235,3,agent
avsmal,3,agent
id12594,3,follower
ks.krapivina,3,follower
unclekura,3,follower
id7586,3,follower
skrendel,3,follower
id51210,3,follower
almosyagin,3,follower
id22772,3,follower
george,3,follower
darushin,3,follower
tlando,3,follower
id1354,3,follower
mikaza,3,follower
id375,3,follower
pusev,3,follower
